최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2019.12.19,"34,145km",가솔린,"1,598cc",타이푼 실버 메탈릭,블랙,승용,5인승,2WD,261누9846,2019년,CVT,"12,900,000",None
2020.06.17,"32,345km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,276노5195,2020년,CVT,"15,000,000","하이패스, 차선 이탈 경보"
2020.10.21,"38,648km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,236누3315,2020년,CVT,"16,800,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보"
2021.01.20,"27,636km",가솔린,"1,598cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,373오8693,2021년,CVT,"19,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.04.22,"42,462km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,224우8785,2021년,CVT,"15,600,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
2022.05.18,"25,156km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,161마7506,2022년,CVT,"18,500,000","하이패스, 후방 모니터, 차선 이탈 경보"
2021.01.10,"48,026km",가솔린,"1,598cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,105너5307,2021년,CVT,"18,200,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2020.04.20,"43,882km",가솔린,"1,598cc",일렉트릭 그레이,블랙모노톤,승용,5인승,2WD,236누3318,2020년,CVT,"17,300,000","내비게이션, 하이패스, 후방 모니터, 차선 이탈 경보"
2020.11.08,"45,321km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,290고7119,2020년,CVT,"18,700,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2020.12.28,"52,302km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,373오8697,2020년,CVT,"14,900,000","열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
2020.09.21,"72,680km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,373오8644,2020년,CVT,"16,400,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보"
2021.11.30,"9,898km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,185마5891,2021년,CVT,"15,900,000","하이패스, 차선 이탈 경보"
2020.08.13,"44,751km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,251가5934,2020년,CVT,"16,900,000","내비게이션, 하이패스, 후방 모니터, 차선 이탈 경보"
2021.01.12,"18,815km",가솔린,"1,598cc",아마존 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,236누3341,2021년,CVT,"15,300,000",차선 이탈 경보
2021.02.09,"37,896km",가솔린,"1,598cc",사이버 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,251가5992,2021년,CVT,"17,300,000","열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보"
2020.07.27,"29,747km",가솔린,"1,598cc",일렉트릭 그레이,블랙모노톤,승용,5인승,2WD,373오8685,2020년,CVT,"15,500,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
2021.01.18,"21,116km",가솔린,"1,598cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,149무7944,2021년,CVT,"20,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.05.10,"65,991km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,269가8126,2021년,CVT,"15,800,000","열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보"
2022.10.25,"12,218km",가솔린,"1,598cc",아마존 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,234노3670,2022년,CVT,"19,000,000","내비게이션, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 후방 모니터, 차선 이탈 경보"
2021.06.13,"24,750km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,204부1967,2021년,CVT,"16,900,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
2021.04.01,"18,885km",가솔린,"1,598cc",플루이드 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,390노7541,2021년,CVT,"18,000,000","내비게이션, 하이패스, 후방 모니터, 차선 이탈 경보"
2022.04.12,"9,550km",가솔린,"1,998cc",폴라 화이트,블랙모노톤,승용,5인승,2WD,139오8851,2022년,오토,"29,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2022.04.13,"11,113km",가솔린,"1,998cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,139오8858,2022년,오토,"29,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2022.05.16,"7,456km",가솔린,"1,998cc",팬텀 블랙 펄,블랙모노톤,승용,5인승,2WD,323모7168,2022년,오토,"28,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2019.08.29,"56,189km",가솔린,"1,598cc",폴라 화이트,블랙,승용,5인승,2WD,390노7542,2019년,CVT,"14,300,000","열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
2019.07.25,"49,614km",가솔린,"1,598cc",타이푼 실버 메탈릭,블랙,승용,5인승,2WD,373오8689,2019년,오토,"12,900,000",None
2019.10.30,"63,976km",가솔린,"1,598cc",폴라 화이트,블랙,승용,5인승,2WD,373오8683,2019년,CVT,"13,900,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 차선 이탈 경보"
